Iteration,Character,Prev_Position,New_Position,Steps,Result
0,Heroe,5,4,1,0
0,Bruja,0,1,1,0
0,Heroe,6,7,3,0
0,Bruja,1,1,0,0
0,Heroe,7,6,1,0
0,Bruja,1,2,1,0
0,Heroe,6,7,1,0
0,Bruja,2,3,1,0
0,Heroe,5,4,3,0
0,Bruja,3,4,1,0
0,Heroe,4,3,1,0
0,Bruja,4,5,1,0
0,Heroe,3,3,0,0
0,Bruja,5,6,1,0
0,Heroe,2,1,2,0
0,Bruja,6,8,2,0
0,Heroe,1,1,0,0
0,Bruja,8,10,2,0
0,Heroe,1,0,1,0
0,Bruja,10,11,1,0
0,Heroe,0,1,1,0
0,Bruja,11,13,2,0
0,Heroe,1,0,2,0
0,Bruja,13,23,1,0
0,Bruja,23,23,0,1
1,Heroe,5,6,1,0
1,Bruja,0,2,2,0
1,Heroe,4,3,3,0
1,Bruja,2,3,1,0
1,Heroe,2,1,2,0
1,Bruja,3,4,1,0
1,Heroe,1,0,1,0
1,Bruja,4,6,2,0
1,Heroe,0,1,1,0
1,Bruja,6,7,1,0
1,Heroe,1,0,3,0
1,Bruja,7,15,1,0
1,Heroe,0,1,1,0
1,Bruja,15,22,1,0
1,Heroe,1,0,1,0
1,Bruja,22,29,1,0
1,Heroe,1,2,2,0
1,Bruja,29,29,0,0
1,Heroe,3,4,2,0
1,Bruja,29,30,1,0
1,Heroe,4,4,0,0
1,Bruja,30,32,1,0
1,Bruja,32,32,0,1
2,Heroe,5,4,1,0
2,Bruja,0,1,1,0
2,Heroe,4,3,1,0
2,Bruja,1,2,1,0
2,Heroe,3,4,1,0
2,Bruja,2,3,1,0
2,Heroe,4,3,1,0
2,Bruja,3,3,0,0
2,Heroe,5,6,3,0
2,Bruja,3,4,1,0
2,Heroe,5,4,2,0
2,Bruja,4,5,1,0
2,Heroe,4,4,0,0
2,Bruja,5,6,1,0
2,Heroe,4,4,0,0
2,Bruja,6,7,1,0
2,Heroe,4,5,1,0
2,Bruja,7,9,2,0
2,Heroe,5,6,1,0
2,Bruja,9,10,1,0
2,Heroe,4,3,3,0
2,Bruja,10,11,1,0
2,Heroe,3,2,1,0
2,Bruja,11,12,1,0
2,Heroe,1,0,3,0
2,Bruja,12,13,1,0
2,Heroe,2,3,3,0
2,Bruja,13,23,2,0
2,Bruja,23,23,0,1
3,Heroe,5,4,1,0
3,Bruja,0,2,2,0
3,Heroe,4,5,1,0
3,Bruja,2,3,1,0
3,Heroe,4,3,2,0
3,Bruja,3,5,2,0
3,Heroe,3,4,1,0
3,Bruja,5,6,1,0
3,Heroe,4,3,1,0
3,Bruja,6,7,1,0
3,Heroe,1,0,3,0
3,Bruja,7,9,2,0
3,Heroe,0,1,1,0
3,Bruja,9,11,2,0
3,Heroe,1,1,0,0
3,Bruja,11,12,1,0
3,Heroe,2,3,2,0
3,Bruja,12,13,1,0
3,Heroe,3,4,1,0
3,Bruja,13,23,1,0
3,Bruja,23,23,0,1
4,Heroe,5,4,1,0
4,Bruja,0,0,0,0
4,Heroe,4,4,0,0
